,name,ticker,manager
164,Catalyst/SMH High Income Fund,HIIFX US equity,
165,Ivy ProShares Interest Rate Hedged High Yield Index Fund,IAIRX US equity,
166,American Century NT High Income Fund,AHGNX US equity,
167,Ivy PineBridge High Yield Fund,IPNAX US equity,
168,PIA High Yield MACS Fund,PIAMX US equity,
169,American Century High Income Fund,AHIAX US equity,
170,"56     HSBC Strategic Income Fund
116     HSBC High Yield Bond Fund
Name: Name_x, dtype: object",HBIAX US equity,Ricky Liu
171,"61    AB High Income Fund Inc
Name: Name_x, dtype: object",AGDAX US equity,Paul J Denoon
172,"82    Wells Fargo High Yield Bond Fund
Name: Name_x, dtype: object",EKHAX US equity,Robert Junkin
173,"88    JPMorgan High Yield Fund
Name: Name_x, dtype: object",OHYFX US equity,Bill Morgan
174,"112    BNY Mellon High Yield Fund
Name: Name_x, dtype: object",DPLTX US equity,Kevin L Cronk
175,"121    Voya High Yield Bond Fund
Name: Name_x, dtype: object",IHYAX US equity,Matt Toms
176,"133    Stone Harbor High Yield Bond Fund
Name: Name_x, dtype: object",SHHYX US equity,Marianne Rossi
177,"135    Stone Harbor High Yield Bond Fund
Name: Name_x, dtype: object",SHHYX US equity,"Daniel Berkery ""Dan"""
178,"150    First Eagle Funds - First Eagle High Income Fund
Name: Name_x, dtype: object",FEHAX US equity,Edward Meigs
179,"157    Fidelity Global High Income Fund
Name: Name_x, dtype: object",FGHNX US equity,Lisa J Roche
180,"159    Fidelity Global High Income Fund
Name: Name_x, dtype: object",FGHNX US equity,James Durance
181,"167    Neuberger Berman High Income Bond Fund
Name: Name_x, dtype: object",NHINX US equity,Joseph W Lind
182,"202    BrandywineGLOBAL - Global High Yield Fund
Name: Name_x, dtype: object",LMZIX US equity,"Gerhardt P Herbert ""Gary"""
183,"221    Federated Hermes High Income B
Name: Name_x, dtype: object",FHIIX US equity,Steven Wagner
184,"227    Hartford High Yield Fund/The
Name: Name_x, dtype: object",HAHAX US equity,Chris Jones
185,"254    PIA High Yield Fund
Name: Name_x, dtype: object",PHYSX US equity,Evangelos Karagiannis
186,"306    PACE High Yield Investments
Name: Name_x, dtype: object",PHDYX US equity,Steven Rosenthal
187,"315    Fidelity Series High Income Fund
Name: Name_x, dtype: object",FSHNX US equity,Fred Hoff
188,"319    PGIM High Yield Fund
Name: Name_x, dtype: object",PBHAX US equity,Robert Cignarella
189,"323    PGIM High Yield Fund
Name: Name_x, dtype: object",PBHAX US equity,Daniel Thorogood
190,"334    SEI Institutional Investment Trust - High Yiel...
Name: Name_x, dtype: object",SGYAX US equity,Patrick Mitchell
191,"352    HC Capital Trust - HC The Corporate Opportunities
Name: Name_x, dtype: object",HCHYX US equity,Michael Edmonds
192,"353    HC Capital Trust - HC The Corporate Opportunities
Name: Name_x, dtype: object",HCHYX US equity,Clint Talmo
193,"355    HC Capital Trust - HC The Corporate Opportunities
Name: Name_x, dtype: object",HCHYX US equity,Jason Nelson
194,"369    Franklin High Income Fund/United States
Name: Name_x, dtype: object",FHAIX US equity,James McGiveran
195,"370    Franklin High Income Fund/United States
Name: Name_x, dtype: object",FHAIX US equity,Bryant Dieffenbacher
196,"386    Muzinich US High Yield Corporate Bond Fund
Name: Name_x, dtype: object",MZHSX US equity,Kevin Ziets
197,"387    Muzinich US High Yield Corporate Bond Fund
Name: Name_x, dtype: object",MZHSX US equity,Bryan Petermann
198,"388    Diamond Hill High Yield Fund
Name: Name_x, dtype: object",DHHAX US equity,"William P Zox ""Bill"""
199,"389    Diamond Hill High Yield Fund
Name: Name_x, dtype: object",DHHAX US equity,Suken Patel
200,"390    Diamond Hill High Yield Fund
Name: Name_x, dtype: object",DHHAX US equity,John McClain
201,"392    Direxion Monthly High Yield Bull 1.2X Fund
Name: Name_x, dtype: object",DXHYX US equity,Tony Ng
